ID,Title,Artists,lyrics
161917,誰にも言えないキスのあと,中川翔子,きっと「孤独」だけが　二人のこと　繋いでるもっと　居すぎたら　また　壊れてく愛も知らないのに知ったかぶりしてどっかで　誰かが　私を　指さす何にもイケナイコトならしてないよ…ねぇ？誰にも言えないキスをしたあと涙が出るのは　なぜ…全部　許すから　私だけを　抱きしめてもっと　欲しがれば　また　壊れてく愛してるなんて言わなくていいから上手に　上手に　騙して永遠なんかを信じるイイ子じゃないの誰にも言えないキスをしたあと涙が出るのは　なぜ…誰にも言えない恋でもいいのあなたしか愛せないの胸の奥の　空洞は　あなたが笑う　顔と多分　ちょうど　同じ　形だからあふれそうな想い塞いで愛も知らないのに知ったかぶりしてどっかで　誰かが　私を　指さす何にもイケナイコトならしてないよ…ねぇ？誰にも言えないキスをしたあと涙が出るのは　なぜ…誰にも言えない恋でもいいのあなたしか愛せないの
26954,D-tecnoLife,UVERworld,癒えない　痛み　悲しみで　キズついた　君よ消せない過去も背負いあっていこう　生きる事を投げ出さないでつないだ君の手をいつか失ってしまうのかな薄れていく　笑顔と君を守りたいから響く僕を呼ぶ声さえ枯れ時に沿う風にかき消されたって君を見つけ出す癒えない　痛み　悲しみで　キズついた　君もう笑えないなんて　人嫌いなんて　言葉そう言わないで見えない未来に起こる事　全てに意味があるから今はそのままでいい　きっと気づける　時が来るだろ錆びきった人のように重なり合うだけが虚しくて一人で生きて行けるって言ってたありふれたやさしさ言葉じゃ今はもう届かないほどに　君は疼きだすつないだ君の手は　なにげないやさしさを求めDo you remember痛みを知る事で　人に優しくなれるからDrive your Life癒えない　痛み　悲しみで　キズついた　君もう笑えないなんて　人嫌いなんて　言葉そう言わないで見えない未来に起こる事　全てに意味があるから今はそのままでいい　きっと気づける　時が来るだろHow can I see the meaning of life消えてく　your’re the only… こわれないようにと 離れていく 君もう笑えないなんて 人嫌いなんて　言葉そう言わないで今は by and by　見え無くったって　全てに意味があるから消せない過去も背負い合ってこう　生きる事を投げ出さないでYou'd better forget everything.Remember…your different Life?You'd better forget everything.Remember…戻らないけど歪んだ記憶のような　時の中でいつか解りあえるから
131020,BLAZING FIRE welcomez RYO from ORANGE RANGE,INFINITY 16,"BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…熱くMOVING うねり出す空気　音LOOPし分身し　実にMOODYにMIC持つ武士が語る数時間の場　称そう「DANGEROUS AREA」フロアを虜に　その他を飲み込み　飽くなき探究心は火事場にのみ咲き“FIRE BUN”　響くファンファーレ着火ライター引火FIRE ARE YOU READY NOW?BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…YO 互いに頂点極めた孤高の危ない侍が拳交わしマイクを握れば文明開化たちまち国境飛び越え伝わるJAPANからJAMAICAAMERICA AFRICA ASIAに EUROPE OCEANIA昇天したけりゃついてきな　上限なんてぶっちぎってきな挑戦したけりゃ　冒険したけりゃ飛び込みな　DANGEROUS AREAとうせんぼする奴らには導線に点火して即BOOM BAM燃え盛る　俺達の魂は SHINE LIKE ABLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…そこのRUDIE きてねぇか?　ビンビン　ほれよ～く見っ!　これ現場の醍醐味なきLIMIT　細胞がビリッ!　美らBEAT BEGINNING　神秘のシーン真っ赤っ赤な目で着火　ブラッ!　ブラッ!　ブラッ!と声上げるラッパー DJ MC DANCER ENGINEER SELECTOR全てのENTERTAINERパンパン!と鳴り響くぜGUN SHOTバンバン!飲み干せ　テキーラ　シャンパンまだまだ　まだまだ　まだまだ　まだまだ　宴盛り上げてくぜガンガン!踊り狂え SEXY GAL DEMフロア舞う天使 HIGHになる絵さぁ　RUDEBOY DEM闇の元で　火を灯せ　YOU GOTTA DIVING FIRE昇天したけりゃついて来な上限なんてブッちぎってきな挑戦したけりゃ　冒険したけりゃ飛び込みな DANGEROUS AREA16 ＆ ORのRYOが脳天めがけ言葉吐く瞬間内に眠るお前の才能が　SHINE LIKE ABLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…BLAZING FIRE ETERNAL FIREFIRE KEEP BLAZING WI DON'T NEED NO WATERBLAZING FIRE MEK MI SI YU LIGHTER燃やせ永遠に WI A GO BUN DEM NOW, DONE DEM NOW YO…"
237664,Fourside Moonside,サイダーガール,明かりのない部屋の暮らしに寂しさを重ね合わせて誰かのせいにしたって誰にも咎められやしないいつかは振り向くかなそんな夢を見てしまうんだ何もない日々から船を飛ばそう　月の果てまで君の価値を知るのは他の誰でもない暗くも明るい街は無重力の星の上にイエスと言えばノーとなる赤いポストが歩いてるいつかは笑ってくれよそんな無責任には言えないな解れてゆく日々から愛を覗く　後悔の果てに何に価値があるのかは君が決めることだ銀河を廻せば　言葉は些細さ自由に行こうぜ　この世界の全ては君だけのもの今日も何もない日々から船を飛ばそう　月の果てまで君の価値を知るのは他の誰でもない
161913,NO MERCY,B.A.P,"Yeah, sounds good!We fly here B.A.P, leggo!Boom clap! boom boom clap! x 3Yeah, let it go something like..間違い探しのジレンマじゃあ俺ら見せてやるしかないか遊びじゃない　この Attitude　リアルな見せてやるぜ本当のカリスマ量産されてく薄っぺらい ICONルーツを無視してどこまでも Goin'on誰ひとり言わない本音の spokesman錆びた耳に RAP　聴かせる Impact古びたパラダイム　壊して We so fly新しい時代　創り出す感度を上げて　僕を感じてYo　カッコだけのフェイク Let me work out蹴散らしてくぜ We are world wideNo, no, no, no mercy!Yeah, we are the B.A.PBaby wussup! 刺激もっと手加減なしの危険な RIOTNo, no, no, no mercy!Yeah, we are the B.A.P君をきっと　未体験 Zone連れてってあげるよ put ya hands up準備出来たら　さぁ get ya hands upBoom clap! boom boom clap! x 3Yeah, let it go something like..より取り見取りだけど We are the main音楽は心syncさせるゲームブレないMy Style we makin'classic　試してみてすぐにプレイに夢中にさせてあげる We'll be back一瞬だって　見逃さないでYo　カッコだけのフェイク Let me work out蹴散らしてくぜ We are world wideNo, no, no, no mercy!Yeah, we are the B.A.PBaby wussup! 騒げもっといきなりトップギアまで上げろNo, no, no, no mercy!Yeah, we are the B.A.P君をネクスト　レベルへと引き上げてあげるよ put ya hands up準備出来たら　さぁ get ya hands upNo, no, no, no mercy!Yeah, we are the B.A.PBaby wussup! 刺激もっと手加減なしの危険な RIOTNo, no, no, no mercy!Yeah, we are the B.A.P君をきっと　未体験 Zone連れてってあげるよ put ya hands up準備出来たら　さぁ get ya hands up"
712,いのち川,宮史郎,惚れてよかった惚れてよかった あなたを信じついてゆきます 振り向かないでつらい運命に 耐えながら水にただよう浮草もいつか花咲く ときがあるしあわせ求めて あゝ いのち川もしもわたしがもしもわたしが 迷ったときは抱いてください 叱って欲しいこんな男で すまないと苦労いたわる 優しさにうれし涙が 目にしみる心をひとつに あゝ いのち川離れられない離れられない このひとだから命ひとすじ 尽くしていたいたとえ日陰の 暮らしでも悔いはしません 泣きませんいつか花咲く ときがくる明日もあなたと あゝいのち川
173627,ファッションパンク,アーバンギャルド,ファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　パンクファッションパンクしそうなの　「やめて」「やめて」パンチになりそう　「こわい」「こわい」ポンチなアタマを　「とめて」「とめて」ウツがやって来る　ヤァ！ヤァ！ヤァ！おくすり飲もう　デパス　パキシル　コントミン魔法のコトバ　リーゼ　リタリン　レボトミン赤いキャンディ　青いキャンディまぜてごっくんするだけで大人になったり子供になったり少女になったり女の子みたくなれるのファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　パンクファッションおくすりあれば　アナフラニール　アミプリンわたしになれる　ソラナックス　サイレースおくすりなけりゃ　デプロメール　エフェドリンわたしはきえる　ドグマチール　ハルシオン不安定です　不安なんですだけどごっくんするだけで笑顔になったり優しくなったりウサギになったりアリスみたくなれるのパンクしそうなの　「やめて」「やめて」パンチでノーミソ　「こわい」「こわい」ポンチなモウソウ　「とめて」「とめて」ウツがやって来る　ヤァ！ヤァ！ヤァ！涙が止まらない…「あいしてる」「だいきらい」(注)幻聴 ですおくすり飲もう　デパス　パキシル　コントミン魔法のコトバ　リーゼ　リタリン　レボトミン唱えて安心　デパス　パキシル　コントミンいつかわたしも リーゼ リタリン レボトミンファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　ファッションパンクファッションパンク　ファッションパンク
18557,赤い命 feat. Erykah Babu,MISIA,"Tell me a story that happened in the distant pastTears of sorrow and red destinyWhat can we leave for the distant future now?Tears of sorrow and red destinyThe sun dyed the wind from the wastelandThe wind swayed my long hairTell me a story that happened in the distant pastTears of sorrow and red destinyShimmer of a man walks the wild desert, is wavering and fades awayA mistake is repeatedBut when will it be over?夕日に染められた荒野の風が吹いて長い髪を揺らしてた遠い遠い昔の話を聞かせて悲しい涙と　そして　赤い命広い砂漠を歩く人々のかげろうゆらゆら揺れて消えてく遠い遠い過去からこぼれ落ちる悲しい涙と　そして　赤い命繰り返す同じあやまちいついつまで遠い遠い昔の話を聞かせて悲しい涙と　そして　赤い命遠い遠い未来に　今　何を残すだろう悲しい涙と　そして　赤い命"
263933,Center Of The Earth,a flood of circle,3月の風を全身で受けて桜の花みたいに舞い上がれさんざん汚したコンバースで可愛くて憎たらしい笑顔であんなに悲しい日さえも頬張ってたね　青い春をサンキューベイビー　最後まで笑ってくれまともじゃなくても　大好きだよサンキューベイビー　バイバイは言わないぜ白い光の中で恥かいて　ミスって　チョロまかしてあくびして　どれもが大事だったよまあいいや　なんて言えなくていい越えて来たのさ　長い冬をサンキューベイビー　最初まで戻れても同じこと言うよ　大好きだよサンキューベイビー　バイバイは言わないでにじむ光の中でどんな後悔をしても　君がいれば爆笑だぜ忘れないで　世界の真ん中はいつも君だってことこの道はまだ続くだろう離れ離れの日も君へ溢れていくサンキューベイビー　最後まで笑ってくれてまともじゃなくても　大好きだよサンキューベイビー　バイバイは言わないぜ次の光の中へサンキューベイビー本当におめでとう　大好きだよサンキューベイビー　泣けるほど笑える日々をサンキューベイビー
115849,宮良橋節～えんどうの花,成底ゆう子,～宮良橋節～宮良川港(みやらがわんなと)　橋(はすぃ)やねぬ大川(うふぅがーら)南端(はいばだ)や北端(にすぃばだ)に　渡(ばだ)しょたる渡(ばだれ)テンヨー　テンヨー　シトゥルトゥテン～えんどうの花～えんどうの花の咲く頃は　幼い時を思い出す家(うち)の軒端に　巣をくって暮れ方帰った　あのつばめえんどうの花の咲く頃は　冷たい風が吹きました妹おぶって暮れ方に苺を取りに　行った山今朝は冷たい風が吹き　つばめが一羽飛んでいるえんどうの畑　寒けれどわたしゃひとりで　帰りましょうわたしゃひとりで　帰りましょう
